Age,Sex,Filename
49.1,M,stats_Age49.1_SexM_ICV.npz
49.1,F,stats_Age49.1_SexF_ICV.npz
53.1,M,stats_Age53.1_SexM_ICV.npz
53.1,F,stats_Age53.1_SexF_ICV.npz
57.1,M,stats_Age57.1_SexM_ICV.npz
57.1,F,stats_Age57.1_SexF_ICV.npz
61.1,M,stats_Age61.1_SexM_ICV.npz
61.1,F,stats_Age61.1_SexF_ICV.npz
65.1,M,stats_Age65.1_SexM_ICV.npz
65.1,F,stats_Age65.1_SexF_ICV.npz
69.1,M,stats_Age69.1_SexM_ICV.npz
69.1,F,stats_Age69.1_SexF_ICV.npz
73.1,M,stats_Age73.1_SexM_ICV.npz
73.1,F,stats_Age73.1_SexF_ICV.npz
77.1,M,stats_Age77.1_SexM_ICV.npz
77.1,F,stats_Age77.1_SexF_ICV.npz
