Age,Sex,npz
44.8,F,stats_LabelCSF_Age44.8_SexF.npz
44.8,M,stats_LabelCSF_Age44.8_SexM.npz
45.3,F,stats_LabelCSF_Age45.3_SexF.npz
45.3,M,stats_LabelCSF_Age45.3_SexM.npz
45.8,F,stats_LabelCSF_Age45.8_SexF.npz
45.8,M,stats_LabelCSF_Age45.8_SexM.npz
46.3,F,stats_LabelCSF_Age46.3_SexF.npz
46.3,M,stats_LabelCSF_Age46.3_SexM.npz
46.8,F,stats_LabelCSF_Age46.8_SexF.npz
46.8,M,stats_LabelCSF_Age46.8_SexM.npz
47.3,F,stats_LabelCSF_Age47.3_SexF.npz
47.3,M,stats_LabelCSF_Age47.3_SexM.npz
47.8,F,stats_LabelCSF_Age47.8_SexF.npz
47.8,M,stats_LabelCSF_Age47.8_SexM.npz
48.3,F,stats_LabelCSF_Age48.3_SexF.npz
48.3,M,stats_LabelCSF_Age48.3_SexM.npz
48.8,F,stats_LabelCSF_Age48.8_SexF.npz
48.8,M,stats_LabelCSF_Age48.8_SexM.npz
49.3,F,stats_LabelCSF_Age49.3_SexF.npz
49.3,M,stats_LabelCSF_Age49.3_SexM.npz
49.8,F,stats_LabelCSF_Age49.8_SexF.npz
49.8,M,stats_LabelCSF_Age49.8_SexM.npz
50.3,F,stats_LabelCSF_Age50.3_SexF.npz
50.3,M,stats_LabelCSF_Age50.3_SexM.npz
50.8,F,stats_LabelCSF_Age50.8_SexF.npz
50.8,M,stats_LabelCSF_Age50.8_SexM.npz
51.3,F,stats_LabelCSF_Age51.3_SexF.npz
51.3,M,stats_LabelCSF_Age51.3_SexM.npz
51.8,F,stats_LabelCSF_Age51.8_SexF.npz
51.8,M,stats_LabelCSF_Age51.8_SexM.npz
52.3,F,stats_LabelCSF_Age52.3_SexF.npz
52.3,M,stats_LabelCSF_Age52.3_SexM.npz
52.8,F,stats_LabelCSF_Age52.8_SexF.npz
52.8,M,stats_LabelCSF_Age52.8_SexM.npz
53.3,F,stats_LabelCSF_Age53.3_SexF.npz
53.3,M,stats_LabelCSF_Age53.3_SexM.npz
53.8,F,stats_LabelCSF_Age53.8_SexF.npz
53.8,M,stats_LabelCSF_Age53.8_SexM.npz
54.3,F,stats_LabelCSF_Age54.3_SexF.npz
54.3,M,stats_LabelCSF_Age54.3_SexM.npz
54.8,F,stats_LabelCSF_Age54.8_SexF.npz
54.8,M,stats_LabelCSF_Age54.8_SexM.npz
55.3,F,stats_LabelCSF_Age55.3_SexF.npz
55.3,M,stats_LabelCSF_Age55.3_SexM.npz
55.8,F,stats_LabelCSF_Age55.8_SexF.npz
55.8,M,stats_LabelCSF_Age55.8_SexM.npz
56.3,F,stats_LabelCSF_Age56.3_SexF.npz
56.3,M,stats_LabelCSF_Age56.3_SexM.npz
56.8,F,stats_LabelCSF_Age56.8_SexF.npz
56.8,M,stats_LabelCSF_Age56.8_SexM.npz
57.3,F,stats_LabelCSF_Age57.3_SexF.npz
57.3,M,stats_LabelCSF_Age57.3_SexM.npz
57.8,F,stats_LabelCSF_Age57.8_SexF.npz
57.8,M,stats_LabelCSF_Age57.8_SexM.npz
58.3,F,stats_LabelCSF_Age58.3_SexF.npz
58.3,M,stats_LabelCSF_Age58.3_SexM.npz
58.8,F,stats_LabelCSF_Age58.8_SexF.npz
58.8,M,stats_LabelCSF_Age58.8_SexM.npz
59.3,F,stats_LabelCSF_Age59.3_SexF.npz
59.3,M,stats_LabelCSF_Age59.3_SexM.npz
59.8,F,stats_LabelCSF_Age59.8_SexF.npz
59.8,M,stats_LabelCSF_Age59.8_SexM.npz
60.3,F,stats_LabelCSF_Age60.3_SexF.npz
60.3,M,stats_LabelCSF_Age60.3_SexM.npz
60.8,F,stats_LabelCSF_Age60.8_SexF.npz
60.8,M,stats_LabelCSF_Age60.8_SexM.npz
61.3,F,stats_LabelCSF_Age61.3_SexF.npz
61.3,M,stats_LabelCSF_Age61.3_SexM.npz
61.8,F,stats_LabelCSF_Age61.8_SexF.npz
61.8,M,stats_LabelCSF_Age61.8_SexM.npz
62.3,F,stats_LabelCSF_Age62.3_SexF.npz
62.3,M,stats_LabelCSF_Age62.3_SexM.npz
62.8,F,stats_LabelCSF_Age62.8_SexF.npz
62.8,M,stats_LabelCSF_Age62.8_SexM.npz
63.3,F,stats_LabelCSF_Age63.3_SexF.npz
63.3,M,stats_LabelCSF_Age63.3_SexM.npz
63.8,F,stats_LabelCSF_Age63.8_SexF.npz
63.8,M,stats_LabelCSF_Age63.8_SexM.npz
64.3,F,stats_LabelCSF_Age64.3_SexF.npz
64.3,M,stats_LabelCSF_Age64.3_SexM.npz
64.8,F,stats_LabelCSF_Age64.8_SexF.npz
64.8,M,stats_LabelCSF_Age64.8_SexM.npz
65.3,F,stats_LabelCSF_Age65.3_SexF.npz
65.3,M,stats_LabelCSF_Age65.3_SexM.npz
65.8,F,stats_LabelCSF_Age65.8_SexF.npz
65.8,M,stats_LabelCSF_Age65.8_SexM.npz
66.3,F,stats_LabelCSF_Age66.3_SexF.npz
66.3,M,stats_LabelCSF_Age66.3_SexM.npz
66.8,F,stats_LabelCSF_Age66.8_SexF.npz
66.8,M,stats_LabelCSF_Age66.8_SexM.npz
67.3,F,stats_LabelCSF_Age67.3_SexF.npz
67.3,M,stats_LabelCSF_Age67.3_SexM.npz
67.8,F,stats_LabelCSF_Age67.8_SexF.npz
67.8,M,stats_LabelCSF_Age67.8_SexM.npz
68.3,F,stats_LabelCSF_Age68.3_SexF.npz
68.3,M,stats_LabelCSF_Age68.3_SexM.npz
68.8,F,stats_LabelCSF_Age68.8_SexF.npz
68.8,M,stats_LabelCSF_Age68.8_SexM.npz
69.3,F,stats_LabelCSF_Age69.3_SexF.npz
69.3,M,stats_LabelCSF_Age69.3_SexM.npz
69.8,F,stats_LabelCSF_Age69.8_SexF.npz
69.8,M,stats_LabelCSF_Age69.8_SexM.npz
70.3,F,stats_LabelCSF_Age70.3_SexF.npz
70.3,M,stats_LabelCSF_Age70.3_SexM.npz
70.8,F,stats_LabelCSF_Age70.8_SexF.npz
70.8,M,stats_LabelCSF_Age70.8_SexM.npz
71.3,F,stats_LabelCSF_Age71.3_SexF.npz
71.3,M,stats_LabelCSF_Age71.3_SexM.npz
71.8,F,stats_LabelCSF_Age71.8_SexF.npz
71.8,M,stats_LabelCSF_Age71.8_SexM.npz
72.3,F,stats_LabelCSF_Age72.3_SexF.npz
72.3,M,stats_LabelCSF_Age72.3_SexM.npz
72.8,F,stats_LabelCSF_Age72.8_SexF.npz
72.8,M,stats_LabelCSF_Age72.8_SexM.npz
73.3,F,stats_LabelCSF_Age73.3_SexF.npz
73.3,M,stats_LabelCSF_Age73.3_SexM.npz
73.8,F,stats_LabelCSF_Age73.8_SexF.npz
73.8,M,stats_LabelCSF_Age73.8_SexM.npz
74.3,F,stats_LabelCSF_Age74.3_SexF.npz
74.3,M,stats_LabelCSF_Age74.3_SexM.npz
74.8,F,stats_LabelCSF_Age74.8_SexF.npz
74.8,M,stats_LabelCSF_Age74.8_SexM.npz
75.3,F,stats_LabelCSF_Age75.3_SexF.npz
75.3,M,stats_LabelCSF_Age75.3_SexM.npz
75.8,F,stats_LabelCSF_Age75.8_SexF.npz
75.8,M,stats_LabelCSF_Age75.8_SexM.npz
76.3,F,stats_LabelCSF_Age76.3_SexF.npz
76.3,M,stats_LabelCSF_Age76.3_SexM.npz
76.8,F,stats_LabelCSF_Age76.8_SexF.npz
76.8,M,stats_LabelCSF_Age76.8_SexM.npz
77.3,F,stats_LabelCSF_Age77.3_SexF.npz
77.3,M,stats_LabelCSF_Age77.3_SexM.npz
77.8,F,stats_LabelCSF_Age77.8_SexF.npz
77.8,M,stats_LabelCSF_Age77.8_SexM.npz
78.3,F,stats_LabelCSF_Age78.3_SexF.npz
78.3,M,stats_LabelCSF_Age78.3_SexM.npz
78.8,F,stats_LabelCSF_Age78.8_SexF.npz
78.8,M,stats_LabelCSF_Age78.8_SexM.npz
79.3,F,stats_LabelCSF_Age79.3_SexF.npz
79.3,M,stats_LabelCSF_Age79.3_SexM.npz
79.8,F,stats_LabelCSF_Age79.8_SexF.npz
79.8,M,stats_LabelCSF_Age79.8_SexM.npz
80.3,F,stats_LabelCSF_Age80.3_SexF.npz
80.3,M,stats_LabelCSF_Age80.3_SexM.npz
80.8,F,stats_LabelCSF_Age80.8_SexF.npz
80.8,M,stats_LabelCSF_Age80.8_SexM.npz
81.3,F,stats_LabelCSF_Age81.3_SexF.npz
81.3,M,stats_LabelCSF_Age81.3_SexM.npz
81.8,F,stats_LabelCSF_Age81.8_SexF.npz
81.8,M,stats_LabelCSF_Age81.8_SexM.npz
82.3,M,stats_LabelCSF_Age82.3_SexM.npz
